Category: All categories

Month,Formula 1: (United States)
2015-01,11
2015-02,13
2015-03,20
2015-04,17
2015-05,18
2015-06,16
2015-07,16
2015-08,13
2015-09,17
2015-10,20
2015-11,14
2015-12,10
2016-01,10
2016-02,13
2016-03,17
2016-04,17
2016-05,19
2016-06,15
2016-07,17
2016-08,13
2016-09,14
2016-10,19
2016-11,15
2016-12,10
2017-01,10
2017-02,12
2017-03,16
2017-04,19
2017-05,17
2017-06,17
2017-07,18
2017-08,13
2017-09,17
2017-10,23
2017-11,13
2017-12,9
2018-01,9
2018-02,12
2018-03,17
2018-04,21
2018-05,19
2018-06,18
2018-07,20
2018-08,16
2018-09,19
2018-10,23
2018-11,17
2018-12,9
2019-01,9
2019-02,14
2019-03,31
2019-04,25
2019-05,21
2019-06,26
2019-07,22
2019-08,18
2019-09,24
2019-10,21
2019-11,21
2019-12,12
2020-01,10
2020-02,16
2020-03,22
2020-04,14
2020-05,13
2020-06,14
2020-07,33
2020-08,29
2020-09,26
2020-10,23
2020-11,22
2020-12,26
2021-01,13
2021-02,14
2021-03,32
2021-04,39
2021-05,43
2021-06,43
2021-07,40
2021-08,35
2021-09,41
2021-10,42
2021-11,48
2021-12,51
2022-01,21
2022-02,28
2022-03,77
2022-04,68
2022-05,75
2022-06,51
2022-07,71
2022-08,41
2022-09,42
2022-10,61
2022-11,42
2022-12,17
2023-01,18
2023-02,33
2023-03,70
2023-04,52
2023-05,68
2023-06,51
2023-07,64
2023-08,36
2023-09,55
2023-10,68
2023-11,100
2023-12,25
2024-01,23
2024-02,46
2024-03,74
2024-04,55
2024-05,73
2024-06,58
2024-07,57
2024-08,39
2024-09,51
2024-10,54
2024-11,66
2024-12,44
2025-01,24
2025-02,31
2025-03,81
2025-04,79
