Category: All categories

Month,Formula 1: (Worldwide)
2015-01,15
2015-02,22
2015-03,40
2015-04,31
2015-05,29
2015-06,27
2015-07,27
2015-08,20
2015-09,31
2015-10,31
2015-11,24
2015-12,13
2016-01,13
2016-02,20
2016-03,33
2016-04,33
2016-05,38
2016-06,31
2016-07,37
2016-08,20
2016-09,27
2016-10,35
2016-11,33
2016-12,18
2017-01,15
2017-02,20
2017-03,33
2017-04,42
2017-05,31
2017-06,36
2017-07,38
2017-08,23
2017-09,37
2017-10,47
2017-11,27
2017-12,13
2018-01,13
2018-02,18
2018-03,32
2018-04,47
2018-05,33
2018-06,31
2018-07,45
2018-08,30
2018-09,43
2018-10,41
2018-11,29
2018-12,13
2019-01,12
2019-02,23
2019-03,45
2019-04,40
2019-05,34
2019-06,45
2019-07,40
2019-08,31
2019-09,53
2019-10,37
2019-11,36
2019-12,17
2020-01,13
2020-02,21
2020-03,23
2020-04,14
2020-05,17
2020-06,16
2020-07,55
2020-08,52
2020-09,47
2020-10,38
2020-11,42
2020-12,42
2021-01,16
2021-02,17
2021-03,50
2021-04,46
2021-05,60
2021-06,59
2021-07,60
2021-08,48
2021-09,61
2021-10,51
2021-11,73
2021-12,87
2022-01,23
2022-02,31
2022-03,89
2022-04,71
2022-05,83
2022-06,63
2022-07,100
2022-08,45
2022-09,58
2022-10,78
2022-11,48
2022-12,16
2023-01,16
2023-02,31
2023-03,74
2023-04,54
2023-05,62
2023-06,56
2023-07,78
2023-08,36
2023-09,62
2023-10,65
2023-11,64
2023-12,18
2024-01,17
2024-02,38
2024-03,74
2024-04,49
2024-05,70
2024-06,59
2024-07,64
2024-08,38
2024-09,57
2024-10,50
2024-11,63
2024-12,45
2025-01,21
2025-02,27
2025-03,72
2025-04,80
